P: (240 843 370 0 0 3.1416)   ErrorVisual_T:0.000377482   ErrorVisual_R:0.000577859   ErrorDirecto_T:572.089   ErrorDirecto_R: 0.0889639   END: 16   WHY?: LOW_INCS
P: (172 836 377 0 0 3.1416)   ErrorVisual_T:0.00265139   ErrorVisual_R:0.00326538   ErrorDirecto_T:0.000198455   ErrorDirecto_R: 5.47167e-09   END: 8   WHY?: LOW_ERROR
P: (157 836 377 0 0 3.1416)   ErrorVisual_T:2.31542   ErrorVisual_R:0.00279276   ErrorDirecto_T:0.000200445   ErrorDirecto_R: 2.12225e-08   END: 29   WHY?: LOW_ERROR
P: (207 807 400 0 0 3.1416)   ErrorVisual_T:2.44166   ErrorVisual_R:0.0066254   ErrorDirecto_T:0.00265541   ErrorDirecto_R: 7.31815e-07   END: 19   WHY?: LOW_ERROR
P: (255 821 384 0 0 3.1416)   ErrorVisual_T:1.99102   ErrorVisual_R:0.00203281   ErrorDirecto_T:0.000137809   ErrorDirecto_R: 2.28746e-08   END: 24   WHY?: LOW_ERROR
P: (225 815 371 0 0 3.1416)   ErrorVisual_T:2.01619   ErrorVisual_R:0.00391389   ErrorDirecto_T:0.00897665   ErrorDirecto_R: 5.0725e-06   END: 19   WHY?: LOW_ERROR
P: (164 794 374 0 0 3.1416)   ErrorVisual_T:2.22136   ErrorVisual_R:0.00147333   ErrorDirecto_T:0.00597917   ErrorDirecto_R: 1.67566e-06   END: 24   WHY?: LOW_ERROR
P: (177 795 378 0 0 3.1416)   ErrorVisual_T:2.10228   ErrorVisual_R:0.00204597   ErrorDirecto_T:0.003087   ErrorDirecto_R: 1.01845e-06   END: 24   WHY?: LOW_ERROR
P: (198 818 386 0 0 3.1416)   ErrorVisual_T:2.16983   ErrorVisual_R:0.00289345   ErrorDirecto_T:0.00504728   ErrorDirecto_R: 6.74207e-07   END: 22   WHY?: LOW_ERROR
P: (279 830 399 0 0 3.1416)   ErrorVisual_T:1.97224   ErrorVisual_R:0.00198524   ErrorDirecto_T:0.000424684   ErrorDirecto_R: 4.48371e-08   END: 24   WHY?: LOW_ERROR
P: (245 808 398 0 0 3.1416)   ErrorVisual_T:2.09343   ErrorVisual_R:0.00159866   ErrorDirecto_T:0.000306632   ErrorDirecto_R: 2.61612e-08   END: 24   WHY?: LOW_ERROR
P: (174 821 379 0 0 3.1416)   ErrorVisual_T:2.19958   ErrorVisual_R:0.00211205   ErrorDirecto_T:0.0072562   ErrorDirecto_R: 2.11496e-06   END: 24   WHY?: LOW_ERROR
P: (172 826 378 0 0 3.1416)   ErrorVisual_T:2.22056   ErrorVisual_R:0.00206262   ErrorDirecto_T:0.00886535   ErrorDirecto_R: 2.85213e-06   END: 24   WHY?: LOW_ERROR
P: (249 839 372 0 0 3.1416)   ErrorVisual_T:1.93465   ErrorVisual_R:0.00208399   ErrorDirecto_T:0.00031631   ErrorDirecto_R: 5.44861e-08   END: 23   WHY?: LOW_ERROR
P: (230 839 371 0 0 3.1416)   ErrorVisual_T:2.03317   ErrorVisual_R:0.00236716   ErrorDirecto_T:0.000288217   ErrorDirecto_R: 3.00569e-08   END: 19   WHY?: LOW_ERROR
P: (186 813 372 0 0 3.1416)   ErrorVisual_T:2.18274   ErrorVisual_R:0.00291863   ErrorDirecto_T:0.00603761   ErrorDirecto_R: 8.20235e-07   END: 24   WHY?: LOW_ERROR
P: (236 840 383 0 0 3.1416)   ErrorVisual_T:2.02421   ErrorVisual_R:0.00151046   ErrorDirecto_T:0.000264311   ErrorDirecto_R: 3.42975e-08   END: 25   WHY?: LOW_ERROR
P: (281 838 370 0 0 3.1416)   ErrorVisual_T:1.91686   ErrorVisual_R:0.00166269   ErrorDirecto_T:0.000344891   ErrorDirecto_R: 8.88407e-08   END: 23   WHY?: LOW_ERROR
