P: (240 843 370 0 0 3.1416)   ErrorVisual_T:0.00141899   ErrorVisual_R:2.22091e-06   ErrorDirecto_T:499.926   ErrorDirecto_R: 0.0848473   END: 16   WHY?: LOW_INCS
P: (172 836 377 0 0 3.1416)   ErrorVisual_T:0.00036748   ErrorVisual_R:0.000589833   ErrorDirecto_T:0.000176507   ErrorDirecto_R: 1.25139e-08   END: 8   WHY?: LOW_ERROR
P: (157 836 377 0 0 3.1416)   ErrorVisual_T:0.00035622   ErrorVisual_R:0.00056452   ErrorDirecto_T:0.000383963   ErrorDirecto_R: 6.34052e-05   END: 8   WHY?: LOW_ERROR
P: (207 807 400 0 0 3.1416)   ErrorVisual_T:3.72608   ErrorVisual_R:0.00353812   ErrorDirecto_T:0.0110254   ErrorDirecto_R: 6.04518e-06   END: 25   WHY?: LOW_ERROR
P: (255 821 384 0 0 3.1416)   ErrorVisual_T:3.28028   ErrorVisual_R:0.00384268   ErrorDirecto_T:0.00214767   ErrorDirecto_R: 2.09028e-07   END: 23   WHY?: LOW_ERROR
P: (225 815 371 0 0 3.1416)   ErrorVisual_T:1.81159   ErrorVisual_R:0.006112   ErrorDirecto_T:0.00106301   ErrorDirecto_R: 1.17049e-07   END: 20   WHY?: LOW_ERROR
P: (164 794 374 0 0 3.1416)   ErrorVisual_T:3.49763   ErrorVisual_R:0.00289263   ErrorDirecto_T:0.00809179   ErrorDirecto_R: 1.4437e-06   END: 23   WHY?: LOW_ERROR
P: (177 795 378 0 0 3.1416)   ErrorVisual_T:2.59606   ErrorVisual_R:0.00290425   ErrorDirecto_T:0.00664754   ErrorDirecto_R: 2.4945e-06   END: 23   WHY?: LOW_ERROR
P: (198 818 386 0 0 3.1416)   ErrorVisual_T:3.11144   ErrorVisual_R:0.00168083   ErrorDirecto_T:0.000663092   ErrorDirecto_R: 7.09857e-08   END: 23   WHY?: LOW_ERROR
P: (279 830 399 0 0 3.1416)   ErrorVisual_T:2.42367   ErrorVisual_R:0.00631155   ErrorDirecto_T:0.00394289   ErrorDirecto_R: 3.40099e-07   END: 25   WHY?: LOW_ERROR
P: (245 808 398 0 0 3.1416)   ErrorVisual_T:3.64621   ErrorVisual_R:0.00605187   ErrorDirecto_T:0.00161518   ErrorDirecto_R: 1.55681e-07   END: 25   WHY?: LOW_ERROR
P: (174 821 379 0 0 3.1416)   ErrorVisual_T:2.39294   ErrorVisual_R:0.00473867   ErrorDirecto_T:0.000284306   ErrorDirecto_R: 3.22949e-08   END: 23   WHY?: LOW_ERROR
